s,carat,cut,color,clarity,depth,table,price,x,y,z
6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
26,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41
66,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58
76,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49
77,0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51
78,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56
79,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53
83,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54
89,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46
108,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61
110,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35
128,0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32
146,0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5
162,0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51
181,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24
182,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23
220,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08
238,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62
253,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38
269,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51
278,0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64
292,0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31
372,0.58,Ideal,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3
446,0.78,Very Good,I,VVS2,61.4,56.0,2816,5.91,5.95,3.64
447,0.61,Ideal,G,VVS2,60.1,57.0,2816,5.52,5.54,3.32
453,0.71,Ideal,I,VVS2,60.2,56.0,2817,5.84,5.89,3.53
456,0.63,Ideal,F,VVS2,61.5,56.0,2817,5.48,5.52,3.38
493,0.6,Ideal,F,VVS2,62.0,55.0,2822,5.37,5.4,3.34
514,0.61,Ideal,E,VVS2,61.3,54.0,2823,5.51,5.59,3.4
518,0.77,Ideal,I,VVS2,62.1,57.0,2824,5.84,5.86,3.63
539,0.79,Premium,H,VVS2,62.6,58.0,2827,5.96,5.9,3.71
564,0.71,Premium,G,VVS2,62.1,57.0,2832,5.75,5.65,3.54
573,0.61,Ideal,F,VVS2,61.7,55.0,2833,5.45,5.48,3.37
585,0.63,Ideal,F,VVS2,61.9,57.0,2835,5.47,5.51,3.4
617,0.71,Premium,G,VVS2,60.3,58.0,2839,5.82,5.78,3.5
647,0.73,Ideal,G,VVS2,61.3,57.0,2843,5.81,5.84,3.57
651,0.71,Ideal,G,VVS2,60.7,57.0,2843,5.81,5.78,3.52
663,0.73,Ideal,H,VVS2,61.6,56.0,2846,5.79,5.84,3.58
675,0.7,Very Good,G,VVS2,62.9,59.0,2848,5.61,5.68,3.55
676,0.54,Ideal,D,VVS2,61.5,55.0,2848,5.25,5.29,3.24
709,0.68,Premium,F,VVS2,61.7,57.0,2854,5.67,5.64,3.49
717,0.6,Ideal,F,VVS2,60.8,57.0,2856,5.44,5.49,3.32
754,0.7,Good,E,VVS2,60.1,63.0,2857,5.68,5.71,3.42
759,0.7,Ideal,G,VVS2,62.1,56.0,2858,5.63,5.71,3.52
770,0.7,Good,E,VVS2,63.6,62.0,2858,5.61,5.58,3.56
782,0.6,Ideal,E,VVS2,61.9,54.9,2860,5.41,5.44,3.35
786,0.62,Ideal,G,VVS2,61.6,56.0,2861,5.45,5.48,3.37
787,0.62,Ideal,G,VVS2,61.6,56.0,2861,5.48,5.51,3.38
816,0.71,Premium,H,VVS2,61.5,62.0,2863,5.74,5.68,3.51
848,0.73,Ideal,G,VVS2,61.3,57.0,2869,5.84,5.81,3.57
849,0.72,Ideal,H,VVS2,60.9,57.0,2869,5.79,5.77,3.52
850,0.52,Premium,F,VVS2,61.8,60.0,2870,5.16,5.13,3.18
852,0.64,Premium,E,VVS2,62.1,58.0,2870,5.56,5.51,3.44
891,0.7,Premium,G,VVS2,61.8,58.0,2874,5.67,5.63,3.49
895,0.7,Premium,G,VVS2,62.9,59.0,2874,5.68,5.61,3.55
946,0.72,Very Good,G,VVS2,62.5,58.0,2889,5.68,5.72,3.56
951,0.5,Ideal,E,VVS2,62.2,54.0,2889,5.08,5.12,3.17
952,0.5,Ideal,E,VVS2,62.2,54.0,2889,5.09,5.11,3.17
971,0.71,Ideal,G,VVS2,61.5,57.0,2893,5.73,5.75,3.53
983,0.7,Ideal,G,VVS2,62.1,53.0,2895,5.71,5.75,3.56
994,0.6,Very Good,D,VVS2,60.6,57.0,2897,5.48,5.51,3.33
996,0.54,Ideal,D,VVS2,61.4,52.0,2897,5.3,5.34,3.26
1030,0.62,Ideal,E,VVS2,62.0,56.0,2904,5.48,5.52,3.41
1031,0.7,Very Good,G,VVS2,59.3,62.0,2905,5.78,5.82,3.44
1032,0.7,Very Good,G,VVS2,63.4,59.0,2905,5.62,5.64,3.57
1033,0.7,Very Good,G,VVS2,63.3,59.0,2905,5.59,5.62,3.55
1043,0.61,Ideal,E,VVS2,62.4,53.9,2907,5.42,5.43,3.38
1044,0.61,Ideal,E,VVS2,62.4,53.6,2907,5.42,5.45,3.39
1045,0.61,Ideal,E,VVS2,62.1,54.2,2907,5.43,5.45,3.38
1090,0.59,Ideal,E,VVS2,61.1,57.0,2911,5.39,5.41,3.3
1128,0.73,Premium,G,VVS2,62.2,56.0,2919,5.79,5.75,3.59
1131,0.73,Ideal,G,VVS2,61.9,55.0,2919,5.83,5.77,3.59
1136,0.74,Very Good,H,VVS2,60.5,60.0,2921,5.79,5.81,3.51
1140,0.65,Ideal,F,VVS2,61.3,56.0,2921,5.58,5.61,3.43
1186,0.7,Very Good,G,VVS2,60.8,57.0,2931,5.72,5.76,3.49
1190,0.7,Premium,F,VVS2,61.0,57.0,2932,5.8,5.71,3.51
1191,0.7,Very Good,F,VVS2,63.2,58.0,2932,5.66,5.6,3.56
1192,0.72,Very Good,G,VVS2,62.2,57.0,2933,5.67,5.72,3.54
1193,0.59,Very Good,D,VVS2,60.6,59.0,2933,5.44,5.49,3.31
1202,0.7,Very Good,G,VVS2,61.8,60.0,2936,5.63,5.69,3.5
1224,0.7,Good,F,VVS2,63.1,57.0,2940,5.59,5.66,3.55
1226,0.7,Very Good,F,VVS2,62.6,59.0,2940,5.6,5.64,3.52
1242,0.74,Very Good,H,VVS2,61.3,58.0,2944,5.8,5.85,3.57
1313,0.71,Good,F,VVS2,58.2,60.0,2956,5.89,5.94,3.44
1325,0.74,Fair,G,VVS2,65.2,58.0,2959,5.7,5.6,3.69
1326,0.71,Very Good,H,VVS2,61.8,56.0,2960,5.7,5.73,3.53
1333,0.71,Good,F,VVS2,58.9,61.0,2960,5.8,5.9,3.44
1336,0.74,Ideal,H,VVS2,61.2,57.0,2961,5.79,5.85,3.56
1340,0.63,Ideal,F,VVS2,62.3,56.0,2961,5.48,5.5,3.42
1346,0.63,Ideal,D,VVS2,62.6,56.0,2962,5.47,5.49,3.43
1384,0.3,Very Good,H,VVS2,62.0,56.0,559,4.28,4.3,2.66
1402,0.25,Very Good,E,VVS2,62.0,56.0,560,4.05,4.08,2.52
1418,0.52,Premium,E,VVS2,60.1,58.0,2970,5.23,5.18,3.13
1442,0.7,Premium,F,VVS2,62.2,58.0,2975,5.72,5.66,3.54
1451,0.71,Very Good,G,VVS2,60.8,58.0,2977,5.75,5.77,3.5
1455,0.71,Ideal,G,VVS2,62.5,58.0,2978,5.7,5.73,3.57
1498,0.75,Ideal,H,VVS2,62.0,55.1,2992,5.83,5.85,3.62
1500,0.69,Very Good,F,VVS2,61.5,60.0,2993,5.64,5.67,3.48
1503,0.7,Ideal,G,VVS2,63.0,55.0,2993,5.65,5.69,3.57
1524,1.01,Fair,J,VVS2,66.0,56.0,2998,6.29,6.22,4.13
1531,0.7,Premium,G,VVS2,60.6,60.0,2999,5.77,5.69,3.47
1534,0.7,Premium,G,VVS2,60.2,61.0,2999,5.74,5.66,3.43
1545,0.75,Very Good,H,VVS2,60.6,57.0,3002,5.86,5.89,3.56
1551,0.72,Ideal,G,VVS2,61.6,55.0,3002,5.78,5.77,3.56
1556,0.65,Premium,D,VVS2,59.9,58.0,3003,5.69,5.63,3.39
1574,0.71,Ideal,I,VVS2,60.7,57.0,3007,5.76,5.8,3.51
1575,0.71,Ideal,I,VVS2,60.4,57.0,3007,5.78,5.81,3.5
1576,0.7,Premium,E,VVS2,62.7,53.0,3007,5.65,5.61,3.53
1601,0.61,Ideal,E,VVS2,62.0,54.0,3011,5.43,5.47,3.38
1629,0.78,Ideal,H,VVS2,61.7,55.0,3015,5.9,5.94,3.65
1642,0.5,Good,D,VVS2,62.4,64.0,3017,5.03,5.06,3.14
1646,0.7,Premium,F,VVS2,62.5,59.0,3018,5.68,5.61,3.53
1647,0.71,Ideal,F,VVS2,62.6,56.0,3018,5.7,5.65,3.55
1652,0.7,Premium,F,VVS2,62.2,56.0,3018,5.72,5.63,3.53
1657,0.65,Ideal,E,VVS2,62.1,57.0,3023,5.55,5.6,3.46
1671,0.65,Very Good,D,VVS2,57.7,60.0,3025,5.69,5.74,3.3
1673,0.59,Ideal,E,VVS2,61.8,57.0,3026,5.35,5.4,3.32
1679,0.77,Good,H,VVS2,57.9,61.0,3027,6.07,6.01,3.5
1680,0.7,Very Good,F,VVS2,58.5,60.0,3028,5.82,5.94,3.44
1705,0.8,Very Good,H,VVS2,62.9,56.0,3036,5.9,5.96,3.73
1708,0.61,Ideal,D,VVS2,62.4,58.0,3036,5.38,5.42,3.37
1717,0.32,Premium,I,VVS2,60.7,59.0,561,4.4,4.43,2.68
1745,0.7,Very Good,G,VVS2,61.0,59.0,3039,5.67,5.7,3.47
1753,0.71,Ideal,G,VVS2,62.5,57.0,3042,5.73,5.7,3.57
1754,0.72,Very Good,G,VVS2,60.4,58.0,3043,5.77,5.82,3.5
1767,0.7,Good,G,VVS2,61.1,61.0,3046,5.67,5.69,3.47
1783,0.66,Ideal,D,VVS2,61.6,57.0,3049,5.64,5.57,3.45
1785,0.62,Very Good,D,VVS2,58.1,63.0,3050,5.59,5.66,3.27
1795,0.7,Very Good,G,VVS2,60.2,61.0,3052,5.66,5.74,3.43
1814,0.65,Very Good,D,VVS2,59.9,58.0,3056,5.63,5.69,3.39
1815,0.61,Ideal,E,VVS2,60.8,56.0,3056,5.5,5.47,3.34
1839,0.7,Premium,F,VVS2,58.7,60.0,3062,5.8,5.75,3.39
1883,0.9,Fair,I,VVS2,67.0,56.0,3074,5.91,5.83,3.93
1933,0.81,Premium,I,VVS2,62.9,59.0,3084,5.95,5.84,3.71
1984,0.72,Ideal,E,VVS2,62.1,57.0,3093,5.76,5.74,3.57
1985,0.71,Ideal,G,VVS2,62.5,57.0,3095,5.7,5.73,3.57
2003,0.74,Ideal,F,VVS2,61.5,54.0,3101,5.84,5.86,3.6
2011,0.66,Ideal,D,VVS2,61.6,57.0,3103,5.57,5.64,3.45
2019,0.7,Premium,F,VVS2,62.6,59.0,3105,5.66,5.62,3.53
2035,0.72,Premium,F,VVS2,61.6,59.0,3105,5.78,5.72,3.54
2042,0.32,Ideal,I,VVS2,61.5,56.0,561,4.4,4.42,2.71
2047,0.32,Ideal,I,VVS2,62.6,54.0,561,4.37,4.41,2.75
2065,0.32,Premium,I,VVS2,61.9,59.0,561,4.35,4.38,2.7
2086,0.68,Very Good,F,VVS2,57.3,60.0,3112,5.83,5.89,3.36
2092,0.71,Very Good,G,VVS2,61.2,58.0,3113,5.68,5.72,3.49
2148,0.72,Ideal,G,VVS2,61.2,57.0,3126,5.72,5.81,3.53
2153,0.73,Ideal,G,VVS2,62.2,55.0,3127,5.77,5.74,3.58
2154,0.73,Ideal,G,VVS2,61.9,56.0,3127,5.81,5.75,3.58
2161,0.74,Ideal,I,VVS2,61.3,57.0,3130,5.82,5.85,3.57
2177,0.7,Premium,F,VVS2,62.6,59.0,3136,5.66,5.62,3.53
2199,0.72,Ideal,G,VVS2,62.4,57.0,3139,5.71,5.76,3.58
2233,0.72,Good,F,VVS2,61.3,65.0,3145,5.76,5.72,3.52
2264,0.7,Very Good,E,VVS2,59.2,61.0,3154,5.79,5.84,3.44
2276,0.64,Ideal,E,VVS2,62.1,53.0,3157,5.51,5.54,3.43
2282,0.7,Ideal,F,VVS2,62.0,57.0,3160,5.68,5.74,3.54
2313,0.73,Good,F,VVS2,58.2,63.0,3166,5.87,6.01,3.46
2377,0.32,Premium,I,VVS2,62.1,59.0,561,4.35,4.38,2.71
2378,0.32,Very Good,I,VVS2,63.0,57.0,561,4.33,4.37,2.74
2407,0.72,Ideal,G,VVS2,62.6,56.0,3179,5.7,5.74,3.58
2430,0.73,Ideal,G,VVS2,61.9,56.0,3183,5.74,5.81,3.61
2431,0.73,Ideal,G,VVS2,62.2,55.0,3183,5.74,5.77,3.58
2462,0.7,Ideal,G,VVS2,60.6,56.0,3191,5.69,5.82,3.49
2463,0.7,Ideal,G,VVS2,60.3,57.0,3191,5.75,5.83,3.49
2464,0.7,Ideal,F,VVS2,62.0,55.0,3191,5.71,5.67,3.53
2479,0.73,Ideal,F,VVS2,62.2,54.0,3193,5.8,5.75,3.59
2480,0.9,Good,J,VVS2,57.4,61.0,3193,6.42,6.37,3.67
2492,0.6,Ideal,F,VVS2,61.5,57.0,3196,5.42,5.45,3.34
2528,0.7,Very Good,F,VVS2,60.5,60.0,3205,5.7,5.73,3.46
2530,0.7,Ideal,G,VVS2,60.8,56.0,3205,5.75,5.79,3.51
2531,0.7,Ideal,G,VVS2,61.0,56.0,3205,5.74,5.77,3.51
2551,0.77,Very Good,H,VVS2,61.1,56.0,3208,5.89,5.92,3.61
2561,0.7,Premium,D,VVS2,61.5,60.0,3210,5.71,5.64,3.49
2594,0.64,Ideal,F,VVS2,60.9,56.0,3217,5.57,5.59,3.4
2614,0.51,Ideal,D,VVS2,61.3,56.0,3223,5.14,5.15,3.16
2630,0.65,Ideal,D,VVS2,61.4,60.0,3228,5.54,5.57,3.41
2653,0.7,Ideal,G,VVS2,59.9,58.0,3234,5.78,5.8,3.47
2655,0.7,Very Good,F,VVS2,58.7,63.0,3234,5.82,5.79,3.41
2659,0.7,Very Good,G,VVS2,60.0,60.0,3235,5.78,5.85,3.49
2663,0.7,Ideal,H,VVS2,62.2,55.0,3235,5.71,5.76,3.57
2672,0.7,Ideal,E,VVS2,62.8,56.0,3238,5.68,5.6,3.54
2720,0.26,Good,D,VVS2,63.6,56.0,564,4.06,4.09,2.59
2721,0.26,Ideal,E,VVS2,62.5,55.0,564,4.07,4.09,2.55
2722,0.26,Very Good,E,VVS2,58.9,61.0,564,4.16,4.19,2.46
2723,0.26,Very Good,E,VVS2,60.8,61.0,564,4.12,4.13,2.51
2724,0.26,Very Good,E,VVS2,61.7,61.0,564,4.08,4.12,2.53
2734,0.7,Very Good,F,VVS2,62.5,58.0,3247,5.63,5.67,3.53
2741,0.61,Ideal,F,VVS2,61.5,55.0,3248,5.47,5.53,3.38
2742,0.61,Ideal,F,VVS2,61.4,56.0,3248,5.44,5.49,3.36
